"","city","suid","sample","agr","a_temp","a_prec","richtol","nuii"
"212","POR","WILL",434745123040200,10.56860321,10.9704,140.694,4.82715847,8.061865361
"213","POR","WILL",435212122483300,0.58987892,9.690152,161.4071,4.092485876,3.564611942
"214","POR","WILL",440257123103200,7.87278415,11.33644,140.7153,6.432432432,61.19076424
"215","POR","WILL",443326123165200,18.89511609,10.76874,166.2197,5.377358491,9.480389797
"216","POR","WILL",445029122592600,39.58333333,11.06674,141.3892,6.158611111,27.97677461
"217","POR","WILL",445551123015800,5.851619645,11.47181,126.8177,5.694444444,69.76122115
"218","POR","WILL",450022123012400,0.31282586,11.76343,116.3424,6.655925926,81.24188689
"219","POR","WILL",450955122291200,8.641358641,9.95316,179.0231,3.897959184,7.098888196
"220","POR","WILL",451734122585400,44.27277571,11.30458,129.7841,6.720681818,8.982421431
"221","POR","WILL",452149123194900,0.433070866,9.290264,204.6839,3.603448276,4.39211419
"222","POR","WILL",452231122200000,29.66942149,10.55518,191.1752,4.186440678,6.364954852
"223","POR","WILL",452337122243500,47.50527056,11.1566,173.3572,5.818181818,15.7611129
"224","POR","WILL",452414122213200,33.86605784,10.85505,185.1665,4.828571429,16.12245998
"225","POR","WILL",452526122364400,2.127659574,11.69633,131.221,5.725490196,59.55063995
"226","POR","WILL",452912122291200,23.60916316,11.22402,165.4437,6.162162162,33.19216879
"227","POR","WILL",453506123125700,4.938271605,9.782215,163.6717,4.101694915,1.861121315
"228","POR","WILL",454321122352300,16.32302405,11.44505,132.4918,4.634615385,44.17448211
"229","POR","WILL",454510122424900,19.24882629,11.39629,130.3832,4.977758621,22.48838661
"230","POR","WILL",454543122524900,2.5,9.858696,156.8012,4.6,5.71456646
"231","POR","WILL",454549122295800,2.429328622,10.18012,202.6654,4.217391304,10.79165194
"232","POR","WILL",455122122310600,6.806806807,10.27029,198.5236,4.927883598,9.585482528
"233","MGB","WMIC",4072233,58.8220457,6.796292,81.43511,5.216605691,13.07595339
"234","MGB","WMIC",4078085,77.80646283,6.993164,84.66422,6.192418699,6.760220231
"235","MGB","WMIC",4081897,79.89737166,7.39318,83.54754,6.711616667,10.04940288
"236","MGB","WMIC",4084429,34.24017679,7.104436,82.37061,6.234744898,39.3547884
"237","MGB","WMIC",4084468,25.35596897,7.171308,82.09846,6.289276316,44.73140601
