DATE,INSTITUTION,TP,SECCHI,LAT,LONG,YEAR,SEASON,DISTANCE
9/9/2013,OSU,34.54,1.1,41.595,-82.937,2013,Late,0.5688
8/13/2012,NOAA,34.58,1.4,41.763,-83.33,2012,Mid,0.1796
5/24/2010,ODNR,35,,41.839,-83.055,2010,Early,0.4645
6/24/2013,OEPA,35,,41.733,-83.416237,2013,Early,0.0887
7/3/2013,Toledo,35.1,0.9,41.751,-83.104,2013,Mid,0.3964
7/11/2011,Toledo,35.4,1.67,41.789,-83.355,2011,Mid,0.1694
8/19/2011,Toledo,35.4,0.95,41.75,-83.104,2011,Mid,0.3962
5/30/2013,Toledo,35.4,1,41.716,-83.455,2013,Early,0.0461
8/9/2010,NOAA,35.46,1.6,41.833,-83.192,2010,Mid,0.3347
4/13/2012,Toledo,35.5,1.5,41.79,-83.356,2012,Early,0.1692
6/20/2012,ODNR,35.5,,41.702,-83.248,2012,Early,0.2492
7/15/2013,Toledo,35.5,2.1,41.75,-83.104,2013,Mid,0.3969
8/16/2013,Toledo,35.5,1.4,41.716,-83.455,2013,Mid,0.0463
9/21/2010,NOAA,35.53,1.2,41.833,-83.192,2010,Late,0.3342
6/4/2012,Toledo,35.8,1.1,41.751,-83.104,2012,Early,0.3972
